node,duration
0,312359.9481
1,97722.97629
2,59352.57123
3,3259.757544
4,16861.03025
5,25585.37987
6,11772.94887
7,57737.32797
8,44902.08563
9,91809.32486
10,19186.99283
11,94589.5668
12,30441.53316
13,37331.80896
14,64862.71845
15,20013.86639
16,38092.7252
17,19333.8931
18,34885.5136
19,54239.22449
20,438872.23
21,50433.33307
22,27040.69385
23,6817.194532
24,38209.58462
25,7183.026298
26,14215.14479
27,69623.95919
28,29513.84399
29,25836.37317
30,19231.47454
31,79249.05828
32,68193.73881
33,13872.27347
34,159366.4481
35,12470.38686
36,71232.93644
37,324104.7778
38,229628.1934
39,569623.2112
40,593603.7788
41,762891.7613
42,169165.9318
43,0